[2015]
Norja,Latvia,2,2
Ranska,Valko-Venäjä,6,2
Suomi,Etelä-Korea,8,1
Tsekki,Slovakia,2,2
Tanska,Yhdysvallat,0,4
Itävalta,Venäjä,0,7
Etelä-Korea,Kanada,0,10
Ruotsi,Tsekki,3,2
Saksa,Norja,4,4
Slovakia,Sveitsi,0,2
Latvia,Suomi,1,8
Valko-Venäjä,Venäjä,0,6
Yhdysvallat,Saksa,3,0
Ruotsi,Ranska,4,0
Kanada,Tanska,7,1
Itävalta,Slovakia,2,4
Etelä-Korea,Latvia,0,5
Tsekki,Sveitsi,4,4
Suomi,Norja,7,0
Sveitsi,Valko-Venäjä,5,2
Saksa,Etelä-Korea,6,1
Ruotsi,Itävalta,7,0
Suomi,Tanska,2,3
Slovakia,Ranska,3,1
Yhdysvallat,Latvia,2,2
Tsekki,Venäjä,3,3
Norja,Kanada,0,5
Ranska,Itävalta,5,2
Tanska,Norja,3,0
Valko-Venäjä,Tsekki,0,3
Yhdysvallat,Etelä-Korea,13,1
Slovakia,Ruotsi,3,3
Latvia,Saksa,3,1
Itävalta,Valko-Venäjä,4,0
Tanska,Etelä-Korea,3,1
Venäjä,Sveitsi,4,3
Kanada,Suomi,1,5
Ranska,Tsekki,0,6
Norja,Yhdysvallat,3,9
Sveitsi,Ruotsi,3,5
Saksa,Suomi,2,2
Venäjä,Slovakia,4,0
Etelä-Korea,Norja,0,3
Tsekki,Itävalta,4,3
Kanada,Latvia,1,1
Sveitsi,Ranska,5,1
Suomi,Yhdysvallat,6,2
Valko-Venäjä,Slovakia,4,7
Kanada,Saksa,3,0
Venäjä,Ruotsi,1,3
Latvia,Tanska,1,0
[2019]
Suomi,Kanada,3,1
Venäjä,Norja,5,2
Yhdysvallat,Slovakia,1,4
Tsekki,Ruotsi,5,2
Tanska,Ranska,4,4
Sveitsi,Italia,9,0
Saksa,Iso-Britannia,3,1
Latvia,Itävalta,5,2
Slovakia,Suomi,2,4
Norja,Tsekki,2,7
Yhdysvallat,Ranska,7,1
Venäjä,Itävalta,5,0
Tanska,Saksa,1,2
Italia,Ruotsi,0,8
Iso-Britannia,Kanada,0,8
Latvia,Sveitsi,1,3
Yhdysvallat,Suomi,2,2
Venäjä,Tsekki,3,0
Slovakia,Kanada,5,6
Norja,Ruotsi,1,9
Iso-Britannia,Tanska,0,9
Italia,Latvia,0,3
Saksa,Ranska,4,1
Sveitsi,Itävalta,4,0
Yhdysvallat,Iso-Britannia,6,3
Sveitsi,Norja,4,1
Saksa,Slovakia,3,2
Venäjä,Italia,10,0
Kanada,Ranska,5,2
Ruotsi,Itävalta,9,1
Suomi,Tanska,3,1
Tsekki,Latvia,6,3
Ranska,Slovakia,3,6
Itävalta,Norja,3,5
Suomi,Iso-Britannia,5,0
Tsekki,Italia,8,0
Tanska,Yhdysvallat,1,7
Latvia,Venäjä,1,3
Kanada,Saksa,8,1
Italia,Norja,1,7
Iso-Britannia,Slovakia,1,7
Ruotsi,Sveitsi,4,3
Saksa,Yhdysvallat,1,3
Itävalta,Tsekki,0,8
Ranska,Suomi,0,3
Sveitsi,Venäjä,0,3
Ranska,Iso-Britannia,3,3
Ruotsi,Latvia,5,4
Kanada,Tanska,5,0
Itävalta,Italia,3,3
Suomi,Saksa,2,4
Tsekki,Sveitsi,5,4
Slovakia,Tanska,1,1
Norja,Latvia,1,4
Kanada,Yhdysvallat,3,0
Ruotsi,Venäjä,4,7
[2021]
Venäjä,Tsekki,4,3
Saksa,Italia,9,4
Valko-Venäjä,Slovakia,2,5
Kanada,Latvia,0,2
Tanska,Ruotsi,4,3
Norja,Saksa,1,5
Iso-Britannia,Venäjä,1,7
Suomi,Yhdysvallat,2,1
Tsekki,Sveitsi,2,5
Latvia,Kazakstan,2,2
Norja,Italia,4,1
Iso-Britannia,Slovakia,1,2
Kazakstan,Suomi,1,1
Ruotsi,Valko-Venäjä,0,1
Kanada,Yhdysvallat,1,5
Tanska,Sveitsi,0,1
Latvia,Italia,3,0
Slovakia,Venäjä,3,1
Saksa,Kanada,3,1
Tsekki,Valko-Venäjä,2,2
Iso-Britannia,Tanska,2,2
Yhdysvallat,Kazakstan,3,0
Sveitsi,Ruotsi,0,7
Suomi,Norja,5,2
Venäjä,Tanska,3,0
Kazakstan,Saksa,3,2
Kanada,Norja,4,2
Valko-Venäjä,Iso-Britannia,3,4
Sveitsi,Slovakia,8,1
Yhdysvallat,Latvia,4,2
Suomi,Italia,3,0
Ruotsi,Tsekki,2,4
Ruotsi,Iso-Britannia,4,1
Kazakstan,Kanada,2,4
Tanska,Valko-Venäjä,5,2
Latvia,Norja,3,3
Tsekki,Iso-Britannia,6,1
Italia,Kazakstan,3,11
Sveitsi,Venäjä,1,4
Norja,Yhdysvallat,1,2
Slovakia,Tanska,2,0
Saksa,Suomi,1,2
Valko-Venäjä,Sveitsi,0,6
Italia,Kanada,1,7
Ruotsi,Slovakia,3,1
Suomi,Latvia,2,2
Tsekki,Tanska,1,1
Yhdysvallat,Saksa,2,0
Norja,Kazakstan,3,1
Venäjä,Ruotsi,2,2
Kanada,Suomi,2,2
Sveitsi,Iso-Britannia,6,3
Italia,Yhdysvallat,2,4
Slovakia,Tsekki,3,7
Saksa,Latvia,2,1
Venäjä,Valko-Venäjä,6,0
[2022]
Ranska,Slovakia,2,4
Yhdysvallat,Latvia,4,1
Suomi,Norja,5,0
Saksa,Kanada,3,5
Tanska,Kazakstan,9,1
Ruotsi,Itävalta,3,1
Tsekki,Iso-Britannia,5,1
Sveitsi,Italia,5,2
Latvia,Suomi,1,2
Slovakia,Saksa,1,2
Italia,Kanada,1,6
Norja,Iso-Britannia,3,3
Itävalta,Yhdysvallat,2,2
Ranska,Kazakstan,2,1
Tsekki,Ruotsi,3,5
Tanska,Sveitsi,0,6
Latvia,Norja,3,2
Slovakia,Kanada,1,5
Suomi,Yhdysvallat,4,1
Ranska,Saksa,2,3
Tsekki,Itävalta,1,1
Italia,Tanska,1,2
Ruotsi,Iso-Britannia,6,0
Sveitsi,Kazakstan,3,2
Norja,Itävalta,5,3
Ranska,Italia,1,1
Suomi,Ruotsi,2,2
Sveitsi,Slovakia,5,3
Saksa,Tanska,1,0
Iso-Britannia,Yhdysvallat,0,3
Kanada,Kazakstan,6,3
Tsekki,Latvia,5,1
Saksa,Italia,9,4
Iso-Britannia,Suomi,0,6
Kazakstan,Slovakia,3,4
Latvia,Itävalta,3,3
Tanska,Ranska,3,0
Yhdysvallat,Ruotsi,2,2
Itävalta,Suomi,0,3
Kanada,Sveitsi,3,6
Italia,Slovakia,1,3
Norja,Tsekki,1,4
Iso-Britannia,Latvia,3,4
Kazakstan,Saksa,4,5
Ruotsi,Norja,7,1
Sveitsi,Ranska,5,2
Kazakstan,Italia,5,2
Yhdysvallat,Tsekki,0,1
Itävalta,Iso-Britannia,5,3
Kanada,Tanska,2,3
Saksa,Sveitsi,3,3
Ruotsi,Latvia,1,0
Slovakia,Tanska,7,1
Yhdysvallat,Norja,4,2
Kanada,Ranska,7,1
Suomi,Tsekki,3,0
[2023]
Suomi,Yhdysvallat,1,4
Ruotsi,Saksa,1,0
Ranska,Itävalta,1,1
Unkari,Tanska,1,3
Saksa,Suomi,3,4
Yhdysvallat,Unkari,7,1
Ranska,Tanska,3,3
Ruotsi,Itävalta,5,0
Saksa,Yhdysvallat,2,3
Suomi,Ruotsi,1,1
Tanska,Itävalta,6,2
Ranska,Unkari,2,2
Yhdysvallat,Itävalta,4,1
Suomi,Ranska,5,3
Unkari,Ruotsi,1,7
Tanska,Saksa,4,6
Unkari,Suomi,1,7
Itävalta,Saksa,2,4
Yhdysvallat,Tanska,3,0
Itävalta,Suomi,1,3
Ruotsi,Ranska,4,0
Saksa,Unkari,7,2
Yhdysvallat,Ranska,9,0
Tanska,Ruotsi,1,4
Itävalta,Unkari,3,3
Saksa,Ranska,5,0
Ruotsi,Yhdysvallat,3,3
Suomi,Tanska,7,1
[2024]
Sveitsi,Norja,5,2
Tsekki,Suomi,0,0
